A1,A2,A3,A4,A5,time
23.24,23.34,23.83,23.73,23.34,10126
23.14,23.34,23.73,23.83,23.24,10165
23.24,23.44,23.73,23.83,23.24,10203
23.14,23.24,23.73,23.73,23.24,10242
23.24,23.34,23.83,23.83,23.24,10280
23.24,23.24,23.93,23.83,23.14,10318
23.24,23.24,23.73,23.73,23.24,10357
23.24,23.34,23.83,23.83,23.24,10395
23.24,23.24,23.83,23.93,23.24,10434
23.24,23.44,23.83,23.93,23.34,10472
23.24,23.24,24.12,23.83,23.24,10511
23.14,23.34,23.93,23.83,23.24,10550
23.34,23.24,23.83,23.73,23.24,10588
23.24,23.24,23.73,23.73,23.24,10627
23.24,23.34,23.93,23.73,23.24,10664
23.34,23.34,23.93,23.73,23.24,10703
23.34,23.44,23.73,23.73,23.24,10741
23.24,23.34,23.73,23.93,23.24,10780
23.24,23.34,23.83,23.83,23.24,10819
23.24,23.24,23.83,23.73,23.24,10857
23.24,23.34,23.73,23.93,23.24,10896
23.24,23.24,23.83,23.73,23.24,10934
23.34,23.44,23.93,23.73,23.34,10973
23.24,23.34,23.73,23.73,23.34,11012
23.05,23.24,23.93,23.73,23.34,11049
23.24,23.44,23.83,23.73,23.24,11088
23.24,23.44,23.83,23.83,23.44,11126
23.24,23.24,23.93,23.83,23.24,11165
23.24,23.24,23.93,23.93,23.24,11203
23.24,23.24,23.83,23.83,23.24,11242
23.24,23.44,23.83,23.93,23.24,11281
23.24,23.24,23.83,23.83,23.24,11319
23.24,23.44,23.73,23.83,23.34,11358
23.24,23.24,23.73,23.93,23.24,11396
23.14,23.24,23.83,23.93,23.34,11435
23.24,23.24,23.73,23.83,23.24,11472
23.24,23.44,23.83,23.83,23.24,11511
23.24,23.24,23.83,23.73,23.24,11550
23.24,23.24,23.83,23.83,23.14,11588
23.24,23.24,23.83,23.93,23.24,11627
23.24,23.34,23.73,23.73,23.24,11665
23.24,23.44,23.83,24.02,23.24,11704
23.24,23.34,23.73,23.83,23.24,11743
23.14,23.24,23.83,23.93,23.24,11781
23.24,23.24,23.73,23.83,23.24,11820
23.34,23.34,23.73,24.02,23.24,11857
23.24,23.34,23.93,24.02,23.24,11896
23.24,23.34,23.73,23.93,23.24,11934
23.24,23.34,23.83,23.83,23.34,11973
23.34,23.44,23.83,23.93,23.44,12012
23.24,23.34,23.73,23.83,23.34,12050
23.24,23.24,23.83,23.83,23.34,12089
23.34,23.24,23.73,23.83,23.34,12127
23.34,23.24,23.93,23.83,23.34,12166
23.24,23.14,23.93,23.83,23.24,12204
23.24,23.34,23.73,23.83,23.24,12242
23.34,23.44,23.83,23.93,23.34,12281
23.24,23.24,23.73,24.02,23.34,12319
23.34,23.34,23.93,23.83,23.24,12358
23.24,23.24,24.02,24.02,23.24,12396
23.24,23.34,23.93,23.73,23.34,12435
23.34,23.24,24.02,23.83,23.24,12474
23.24,23.34,24.02,23.83,23.24,12512
23.14,23.24,23.83,23.93,23.24,12551
23.24,23.24,23.83,24.12,23.24,12589
23.24,23.34,23.93,24.02,23.24,12627
23.24,23.34,23.83,23.83,23.34,12665
23.34,23.34,23.73,23.93,23.24,12704
23.34,23.24,23.83,23.73,23.34,12743
23.24,23.24,23.83,23.93,23.24,12781
23.24,23.24,23.73,23.73,23.34,12820
23.24,23.34,23.83,23.83,23.34,12858
23.34,23.24,23.93,23.83,23.24,12897
23.24,23.34,23.73,23.83,23.24,12935
23.14,23.34,23.83,23.83,23.24,12974
23.34,23.24,23.83,24.02,23.24,13012
23.24,23.34,23.83,23.93,23.24,13050
23.44,23.24,23.83,23.83,23.24,13089
23.34,23.34,23.73,23.83,23.24,13127
23.24,23.34,23.73,23.93,23.14,13166
23.24,23.34,23.73,23.83,23.24,13204
23.24,23.34,23.73,23.73,23.24,13243
23.34,23.24,23.93,24.12,23.44,13282
23.24,23.34,23.83,24.02,23.24,13320
23.34,23.34,23.73,23.83,23.24,13359
23.34,23.54,23.73,23.83,23.34,13396
23.24,23.34,23.83,24.02,23.24,13435
23.24,23.24,23.83,23.93,23.24,13474
23.34,23.24,23.83,24.02,23.34,13512
23.24,23.24,23.73,23.83,23.34,13551
23.24,23.24,23.73,23.83,23.24,13589
23.34,23.24,23.73,24.02,23.24,13628
23.24,23.44,23.73,24.02,23.24,13666
23.44,23.44,23.73,24.12,23.44,13705
23.14,23.24,23.83,24.02,23.24,13744
23.24,23.24,23.83,23.93,23.24,13782
23.44,23.34,23.73,23.83,23.34,13820
23.24,23.34,23.83,23.83,23.34,13858
23.44,23.34,23.83,24.02,23.24,13897
23.24,23.34,24.02,23.93,23.24,13935
23.34,23.14,23.83,23.93,23.44,13974
23.34,23.24,23.83,24.02,23.24,14013
23.24,23.24,23.83,23.83,23.24,14051
23.44,23.34,23.93,23.93,23.24,14090
23.34,23.24,23.73,23.83,23.24,14128
23.24,23.34,23.73,23.73,23.34,14167
23.24,23.34,23.83,24.12,23.34,14205
23.34,23.34,23.73,23.83,23.34,14243
23.14,23.24,23.73,23.93,23.24,14282
23.24,23.24,23.73,23.83,23.24,14320
23.24,23.24,23.73,23.83,23.24,14359
23.34,23.24,23.73,23.93,23.34,14397
23.24,23.34,23.73,23.93,23.24,14436
23.24,23.34,23.73,23.93,23.24,14475
23.24,23.24,23.73,24.02,23.24,14513
23.24,23.34,23.83,23.83,23.24,14552
23.44,23.24,23.93,23.93,23.24,14589
23.24,23.24,23.83,23.73,23.24,14628
23.34,23.34,23.73,23.73,23.24,14666
23.34,23.63,23.83,23.93,23.24,14705
23.14,23.24,23.73,23.73,23.24,14744
23.24,23.44,23.73,23.83,23.24,14782
23.34,23.34,23.93,23.73,23.24,14821
23.34,23.34,23.73,23.83,23.24,14859
23.34,23.44,23.83,23.83,23.34,14898
23.54,23.34,23.73,23.93,23.24,14937
23.14,23.24,23.83,24.12,23.24,14974
23.34,23.34,23.73,24.02,23.34,15013
23.34,23.34,23.83,23.83,23.24,15051
23.34,23.24,23.73,24.02,23.34,15090
23.24,23.24,24.02,24.12,23.34,15128
23.34,23.34,23.93,24.22,23.24,15167
23.34,23.24,23.73,24.12,23.54,15206
23.24,23.34,23.73,24.02,23.24,15244
23.24,23.44,23.83,23.93,23.34,15283
23.24,23.34,23.73,23.73,23.24,15321
23.44,23.24,23.83,24.12,23.24,15360
23.34,23.34,23.83,24.12,23.34,15397
23.44,23.24,23.83,24.02,23.34,15436
23.34,23.34,23.83,23.93,23.24,15475
23.44,23.44,23.93,24.12,23.34,15513
23.34,23.34,23.73,24.12,23.44,15552
23.44,23.34,23.83,24.12,23.24,15590
23.34,23.44,23.83,24.02,23.34,15629
23.44,23.24,23.73,23.83,23.24,15667
23.44,23.34,23.73,23.93,23.54,15706
23.44,23.24,23.73,24.02,23.24,15745
23.34,23.34,23.73,24.02,23.34,15782
23.34,23.24,23.73,24.02,23.24,15821
23.24,23.24,23.73,24.02,23.24,15859
23.34,23.24,23.83,24.12,23.34,15898
23.24,23.34,23.83,24.02,23.24,15937
23.24,23.44,23.73,23.93,23.34,15975
23.54,23.24,23.83,24.02,23.24,16014
23.44,23.34,23.73,23.93,23.24,16052
23.34,23.24,23.83,24.02,23.44,16091
23.34,23.34,23.73,24.12,23.34,16129
23.24,23.24,23.83,24.02,23.24,16167
23.54,23.24,24.02,24.12,23.24,16206
23.24,23.24,23.83,23.93,23.24,16244
23.34,23.34,23.83,23.83,23.24,16283
23.34,23.24,23.83,24.02,23.34,16321
23.24,23.34,23.83,23.93,23.34,16360
23.34,23.34,23.83,24.02,23.24,16398
23.24,23.24,23.83,24.22,23.24,16437
23.24,23.24,23.83,23.93,23.54,16476
23.44,23.24,23.83,24.02,23.34,16514
23.24,23.24,23.83,24.02,23.34,16552
23.54,23.24,23.83,24.02,23.24,16590
23.34,23.24,23.73,24.02,23.24,16629
23.24,23.24,23.93,23.93,23.24,16668
23.44,23.34,23.73,23.83,23.24,16706
23.44,23.34,23.73,23.83,23.34,16745
23.24,23.24,23.83,23.93,23.24,16783
23.34,23.34,23.83,24.12,23.34,16822
23.24,23.44,23.73,24.02,23.24,16860
23.44,23.34,23.93,23.93,23.34,16899
23.24,23.34,23.73,24.12,23.24,16937
23.34,23.24,23.73,24.02,23.24,16975
23.44,23.24,23.83,24.02,23.24,17014
23.34,23.24,23.83,24.02,23.44,17052
23.54,23.24,23.93,23.83,23.14,17091
23.14,23.44,23.73,24.02,23.24,17129
23.24,23.54,23.83,23.93,23.24,17168
23.24,23.24,23.83,23.93,23.34,17207
23.24,23.24,23.83,23.93,23.24,17245
23.44,23.24,23.83,23.83,23.24,17284
23.34,23.34,23.83,24.12,23.34,17321
23.44,23.34,23.83,23.83,23.34,17360
23.34,23.24,23.83,23.93,23.34,17399
23.34,23.24,23.83,23.93,23.34,17437
23.14,23.24,23.83,23.93,23.24,17476
23.34,23.24,23.93,23.93,23.24,17514
23.44,23.24,23.73,23.93,23.34,17553
23.34,23.24,24.02,24.02,23.34,17591
23.44,23.24,23.73,23.93,23.34,17630
23.14,23.24,23.83,23.83,23.24,17669
23.34,23.34,23.93,23.93,23.34,17707
23.24,23.24,23.93,24.02,23.34,17745
23.24,23.34,23.73,24.02,23.24,17783
23.44,23.34,23.83,24.02,23.24,17822
23.24,23.24,23.83,23.83,23.24,17860
23.44,23.34,23.83,24.02,23.24,17899
23.34,23.34,23.83,23.83,23.24,17938
23.14,23.34,23.73,24.02,23.24,17976
23.54,23.24,23.73,23.93,23.24,18015
23.24,23.34,24.02,24.02,23.24,18053
23.24,23.34,23.83,23.73,23.24,18092
23.34,23.24,23.93,24.02,23.24,18129
23.24,23.24,23.83,24.02,23.24,18168
23.24,23.24,23.73,23.93,23.24,18207
23.34,23.24,23.73,24.12,23.24,18245
23.24,23.34,23.83,23.83,23.34,18284
23.34,23.34,23.83,24.12,23.24,18322
23.24,23.34,23.83,23.93,23.34,18361
23.24,23.34,23.73,24.02,23.34,18400
23.24,23.34,23.83,23.93,23.24,18438
23.34,23.24,23.83,24.02,23.24,18477
23.24,23.24,23.83,23.83,23.24,18514
23.34,23.34,23.73,23.93,23.24,18553
23.24,23.24,24.02,23.83,23.34,18591
23.24,23.24,23.93,23.93,23.24,18630
23.34,23.34,23.83,23.83,23.24,18669
23.24,23.34,23.83,24.02,23.24,18707
23.44,23.24,23.73,23.93,23.34,18746
23.24,23.44,23.83,24.02,23.24,18784
23.34,23.24,23.93,24.12,23.24,18823
23.44,23.34,23.73,23.93,23.34,18861
23.24,23.24,23.73,23.83,23.24,18899
23.24,23.44,23.73,24.02,23.34,18938
23.24,23.24,24.02,23.83,23.34,18976
23.34,23.24,23.83,24.02,23.34,19015
