A1,A2,A3,A4,A5,time
23.24,23.24,23.63,23.73,23.24,7128.0
23.24,23.24,23.73,23.63,23.05,7165.0
23.24,23.24,23.73,23.73,23.24,7202.0
23.24,23.24,23.73,23.73,23.24,7240.0
23.24,23.24,23.63,23.73,23.24,7277.0
23.24,23.24,23.73,23.73,23.05,7315.0
23.24,23.14,23.63,23.73,23.24,7353.0
23.24,23.24,23.63,23.73,23.24,7390.0
23.24,23.24,23.63,23.73,23.24,7428.0
23.24,23.24,23.83,23.73,23.05,7464.0
23.24,23.24,23.54,23.63,23.24,7502.0
23.24,23.24,23.63,23.73,23.14,7539.0
23.24,23.24,23.63,23.54,23.14,7577.0
23.24,23.24,23.73,23.73,23.14,7615.0
23.14,23.24,23.73,23.73,23.14,7652.0
23.24,23.14,23.54,23.63,23.14,7690.0
23.24,23.24,23.63,23.73,23.24,7727.0
23.24,23.24,23.54,23.73,23.14,7764.0
23.14,23.24,23.54,23.73,23.05,7801.0
23.24,23.24,23.63,23.63,23.14,7839.0
23.05,23.24,23.73,23.63,23.24,7876.0
23.24,23.24,23.63,23.73,23.24,7914.0
23.14,23.24,23.63,23.73,23.05,7952.0
23.24,23.24,23.54,23.73,23.14,7989.0
23.24,23.14,23.54,23.63,23.24,8027.0
23.24,23.24,23.54,23.73,23.05,8064.0
23.14,23.24,23.54,23.73,22.95,8101.0
23.24,23.14,23.73,23.83,23.24,8138.0
23.24,23.24,23.63,23.63,23.14,8176.0
23.34,23.14,23.73,23.73,23.14,8214.0
23.14,23.24,23.63,23.73,22.75,8251.0
23.24,23.24,23.63,23.73,23.14,8289.0
23.24,23.24,23.73,23.63,23.14,8326.0
23.24,23.24,23.73,23.73,23.24,8364.0
23.05,23.14,23.73,23.73,23.24,8400.0
23.24,23.24,23.63,23.73,23.14,8438.0
23.14,23.24,23.63,23.63,23.14,8475.0
23.34,23.24,23.63,23.63,23.24,8513.0
23.24,23.24,23.73,23.73,23.14,8551.0
23.24,23.24,23.54,23.73,23.14,8588.0
23.24,23.05,23.54,23.54,23.05,8626.0
23.24,23.24,23.73,23.73,23.24,8663.0
23.24,23.24,23.73,23.63,23.14,8700.0
23.24,23.24,23.73,23.63,23.24,8737.0
23.14,23.24,23.63,23.63,23.24,8775.0
23.24,23.24,23.54,23.63,23.24,8813.0
23.24,23.24,23.63,23.63,23.05,8850.0
23.24,23.24,23.54,23.63,23.14,8888.0
23.14,23.24,23.63,23.63,22.95,8925.0
23.24,23.14,23.44,23.73,23.05,8963.0
23.24,23.14,23.63,23.73,23.05,8999.0
23.24,23.24,23.63,23.73,23.05,9037.0
23.14,23.24,23.73,23.54,23.24,9074.0
23.24,23.14,23.44,23.63,23.24,9112.0
23.14,23.24,23.73,23.73,22.95,9150.0
23.24,23.24,23.63,23.73,23.14,9187.0
23.24,23.24,23.63,23.63,23.14,9225.0
23.34,23.14,23.73,23.73,23.05,9262.0
23.34,23.24,23.73,23.54,23.05,9299.0
23.24,23.14,23.73,23.73,23.14,9336.0
23.24,23.14,23.63,23.63,23.14,9374.0
23.24,23.14,23.73,23.73,23.05,9412.0
23.14,23.24,23.73,23.63,23.05,9449.0
23.24,23.24,23.63,23.73,23.14,9487.0
23.24,23.24,23.63,23.73,23.24,9524.0
23.05,23.24,23.63,23.63,23.05,9562.0
23.14,23.14,23.54,23.73,23.14,9598.0
23.24,23.34,23.63,23.63,23.24,9636.0
23.14,23.24,23.63,23.73,23.14,9673.0
23.24,23.34,23.73,23.44,23.05,9711.0
23.14,23.24,23.63,23.73,23.24,9749.0
23.24,23.24,23.73,23.73,22.85,9786.0
23.24,23.14,23.63,23.63,23.14,9824.0
23.14,23.14,23.63,23.73,23.05,9861.0
23.24,23.24,23.73,23.73,23.05,9899.0
23.24,23.14,23.63,23.73,23.05,9935.0
23.34,23.24,23.54,23.73,23.14,9973.0
23.14,23.24,23.73,23.63,23.14,10011.0
23.24,23.24,23.54,23.73,23.05,10049.0
23.24,23.24,23.73,23.73,23.24,10088.0
23.24,23.24,23.73,23.73,23.24,10126.0
23.24,23.24,23.73,23.54,23.14,10165.0
23.34,23.24,23.73,23.63,23.24,10203.0
23.24,23.24,23.73,23.73,23.24,10242.0
23.34,23.24,23.73,23.73,23.14,10280.0
23.24,23.14,23.63,23.63,23.24,10318.0
23.24,23.24,23.63,23.83,23.24,10357.0
23.24,23.24,23.83,23.73,23.24,10395.0
23.05,23.14,23.63,23.73,23.14,10434.0
23.34,23.24,23.63,23.73,23.34,10472.0
23.24,23.14,23.63,23.73,23.24,10511.0
23.24,23.24,23.63,23.54,23.14,10550.0
23.24,23.24,23.73,23.73,23.05,10588.0
23.24,23.24,23.63,23.63,23.05,10627.0
23.24,23.24,23.63,23.73,23.24,10664.0
23.24,23.14,23.63,23.73,23.24,10703.0
23.24,23.24,23.63,23.73,23.24,10741.0
23.24,23.24,23.73,23.73,23.24,10780.0
23.24,23.24,23.54,23.73,23.05,10819.0
23.24,23.24,23.63,23.73,23.24,10857.0
23.24,23.24,23.63,23.73,23.24,10896.0
23.05,23.24,23.73,23.73,23.24,10934.0
23.24,23.24,23.73,23.73,23.24,10973.0
23.24,23.24,23.63,23.73,23.24,11012.0
23.34,23.14,23.54,23.73,23.14,11049.0
23.34,23.24,23.73,23.83,23.14,11088.0
23.24,23.24,23.63,23.73,23.14,11126.0
23.24,23.24,23.63,23.73,23.24,11165.0
23.24,23.24,23.63,23.63,23.24,11203.0
23.24,23.24,23.73,23.73,23.14,11242.0
23.24,23.14,23.63,23.73,23.24,11281.0
23.24,23.14,23.73,23.73,23.14,11319.0
23.24,23.24,23.73,23.73,23.24,11358.0
23.24,23.24,23.54,23.73,23.24,11396.0
23.24,23.14,23.63,23.63,23.24,11435.0
23.34,23.24,23.73,23.73,23.24,11472.0
23.24,23.34,23.63,23.73,23.24,11511.0
23.24,23.24,23.63,23.73,23.24,11550.0
23.24,23.14,23.63,23.73,23.24,11588.0
23.24,23.24,23.63,23.73,23.14,11627.0
23.24,23.24,23.63,23.73,23.24,11665.0
23.24,23.14,23.83,23.73,23.24,11704.0
23.14,23.05,23.73,23.73,23.34,11743.0
23.24,23.14,23.73,23.73,23.24,11781.0
23.24,23.24,23.73,23.73,23.24,11820.0
23.14,23.24,23.63,23.73,23.24,11857.0
23.24,23.14,23.73,23.73,23.24,11896.0
23.24,23.24,23.63,23.73,23.24,11934.0
23.24,23.34,23.73,23.73,23.24,11973.0
23.24,23.24,23.63,23.73,23.14,12012.0
23.24,23.24,23.54,23.73,23.24,12050.0
23.34,23.24,23.63,23.93,23.24,12089.0
23.34,23.24,23.63,23.73,23.24,12127.0
23.14,23.24,23.73,23.73,23.24,12166.0
23.24,23.24,23.73,23.73,23.24,12204.0
23.14,23.24,23.63,23.73,23.24,12242.0
23.24,23.24,23.73,23.73,23.24,12281.0
23.24,23.24,23.54,23.73,23.14,12319.0
23.34,23.14,23.63,23.63,23.24,12358.0
23.24,23.24,23.73,23.73,23.24,12396.0
23.24,23.24,23.63,23.63,23.14,12435.0
23.24,23.24,23.73,23.73,23.24,12474.0
23.34,23.14,23.63,23.73,23.24,12512.0
23.05,23.24,23.54,23.63,23.24,12551.0
23.24,23.24,23.73,23.63,23.24,12589.0
23.24,23.24,23.63,23.73,23.14,12627.0
23.14,23.14,23.73,23.73,23.24,12665.0
23.24,23.24,23.63,23.63,23.24,12704.0
23.24,23.24,23.63,23.73,23.14,12743.0
23.34,23.24,23.73,23.73,23.14,12781.0
23.24,23.24,23.54,23.73,23.24,12820.0
23.24,23.24,23.73,23.63,23.24,12858.0
23.34,23.05,23.63,23.73,23.24,12897.0
23.24,23.24,23.73,23.73,23.24,12935.0
23.34,23.24,23.73,23.83,23.24,12974.0
23.44,23.24,23.54,23.73,23.24,13012.0
23.24,23.24,23.63,23.73,23.24,13050.0
23.24,23.24,23.83,23.73,23.24,13089.0
23.34,23.24,23.73,23.73,23.24,13127.0
23.24,23.14,23.63,23.73,23.14,13166.0
23.24,23.24,23.54,23.73,23.24,13204.0
23.24,23.24,23.63,23.73,23.14,13243.0
23.24,23.24,23.73,23.73,23.24,13282.0
23.24,23.24,23.63,23.73,23.24,13320.0
23.24,23.24,23.73,23.54,23.24,13359.0
23.24,23.24,23.73,23.83,23.24,13396.0
23.34,23.24,23.73,23.83,23.24,13435.0
23.24,23.24,23.63,23.83,23.24,13474.0
23.24,23.24,23.73,23.73,23.24,13512.0
23.24,23.34,23.44,23.73,23.24,13551.0
23.34,23.14,23.63,23.73,23.24,13589.0
23.34,23.14,23.54,23.73,23.24,13628.0
23.24,23.24,23.63,23.83,23.24,13666.0
23.44,23.14,23.73,23.73,23.24,13705.0
23.24,23.24,23.63,23.73,23.24,13744.0
23.34,23.24,23.63,23.73,23.34,13782.0
23.24,23.24,23.63,23.73,23.05,13820.0
23.24,23.24,23.73,23.73,23.24,13858.0
23.34,23.24,23.73,23.63,23.24,13897.0
23.34,23.14,23.73,23.73,23.24,13935.0
23.24,23.24,23.73,23.73,23.14,13974.0
23.54,23.24,23.73,23.73,23.24,14013.0
23.14,23.24,23.63,23.73,23.24,14051.0
23.34,23.24,23.73,23.83,23.24,14090.0
23.24,23.24,23.73,23.73,23.24,14128.0
23.24,23.14,23.54,23.73,23.24,14167.0
23.54,23.14,23.63,23.73,23.24,14205.0
23.24,23.24,23.54,23.73,23.24,14243.0
23.44,23.14,23.54,23.73,23.24,14282.0
23.44,23.24,23.63,23.93,23.34,14320.0
23.34,23.24,23.63,23.73,23.24,14359.0
23.54,23.14,23.73,23.73,23.24,14397.0
23.44,23.24,23.63,23.73,23.24,14436.0
23.24,23.24,23.63,23.83,23.24,14475.0
23.34,23.24,23.63,23.73,23.24,14513.0
23.24,23.14,23.73,23.73,23.14,14552.0
23.34,23.24,23.73,23.83,23.24,14589.0
23.34,23.24,23.73,23.83,23.24,14628.0
23.24,23.34,23.73,23.73,23.24,14666.0
23.34,23.24,23.63,23.73,23.24,14705.0
23.24,23.24,23.73,23.63,23.24,14744.0
23.34,23.14,23.73,23.73,23.24,14782.0
23.44,23.24,23.63,23.83,23.24,14821.0
23.34,23.24,23.63,23.73,23.24,14859.0
23.34,23.24,23.73,23.73,23.24,14898.0
23.34,23.24,23.73,23.83,23.24,14937.0
23.44,23.24,23.54,23.73,23.24,14974.0
23.34,23.24,23.73,23.73,23.24,15013.0
